ts,fundingRate,dt
1780243200000,3.80971947042e-05,2026-06-01 00:00:00+08:00
1780272000000,7.74208700977e-05,2026-06-01 08:00:00+08:00
1780300800000,3.59940809967e-05,2026-06-01 16:00:00+08:00
1780329600000,0.0001,2026-06-02 00:00:00+08:00
1780358400000,0.0001,2026-06-02 08:00:00+08:00
1780387200000,3.40508864409e-05,2026-06-02 16:00:00+08:00
1780416000000,1.97173234705e-05,2026-06-03 00:00:00+08:00
1780444800000,-0.0001169560077223,2026-06-03 08:00:00+08:00
1780473600000,-9.48630177986e-05,2026-06-03 16:00:00+08:00
1780502400000,-3.26048406447e-05,2026-06-04 00:00:00+08:00
1780531200000,2.34639082623e-05,2026-06-04 08:00:00+08:00
1780560000000,-0.0001008454316779,2026-06-04 16:00:00+08:00
1780588800000,-3.52194113847e-05,2026-06-05 00:00:00+08:00
1780617600000,-2.17913772073e-05,2026-06-05 08:00:00+08:00
1780646400000,-0.0001603203761531,2026-06-05 16:00:00+08:00
1780675200000,-4.73552911208e-05,2026-06-06 00:00:00+08:00
1780704000000,-7.57049242743e-05,2026-06-06 08:00:00+08:00
1780732800000,-0.0001824157510904,2026-06-06 16:00:00+08:00
1780761600000,-0.0001515730424967,2026-06-07 00:00:00+08:00
1780790400000,-6.96513456342e-05,2026-06-07 08:00:00+08:00
1780819200000,-0.0002568185490001,2026-06-07 16:00:00+08:00
1780848000000,-0.000355345984207,2026-06-08 00:00:00+08:00
1780876800000,-0.0002693748678384,2026-06-08 08:00:00+08:00
1780905600000,-0.0001873552965382,2026-06-08 16:00:00+08:00
1780934400000,-8.8760975112e-06,2026-06-09 00:00:00+08:00
1780963200000,-8.69241579033e-05,2026-06-09 08:00:00+08:00
1780992000000,-1.89039937979e-05,2026-06-09 16:00:00+08:00
1781020800000,3.03865382714e-05,2026-06-10 00:00:00+08:00
1781049600000,7.17267686131e-05,2026-06-10 08:00:00+08:00
1781078400000,1.38261953006e-05,2026-06-10 16:00:00+08:00
1781107200000,3.24670953305e-05,2026-06-11 00:00:00+08:00
1781136000000,-5.90174656933e-05,2026-06-11 08:00:00+08:00
1781164800000,4.62258892781e-05,2026-06-11 16:00:00+08:00
1781193600000,-3.3124734566e-06,2026-06-12 00:00:00+08:00
1781222400000,-9.68114599367e-05,2026-06-12 08:00:00+08:00
1781251200000,-0.0001017741646027,2026-06-12 16:00:00+08:00
1781280000000,9.5622289416e-06,2026-06-13 00:00:00+08:00
1781308800000,-6.58435402433e-05,2026-06-13 08:00:00+08:00
1781337600000,4.50224401935e-05,2026-06-13 16:00:00+08:00
1781366400000,-4.290997293e-05,2026-06-14 00:00:00+08:00
1781395200000,-0.0001118202062351,2026-06-14 08:00:00+08:00
1781424000000,-3.54669567915e-05,2026-06-14 16:00:00+08:00
1781452800000,-3.20449128752e-05,2026-06-15 00:00:00+08:00
1781481600000,-8.16117953241e-05,2026-06-15 08:00:00+08:00
1781510400000,-2.80617027448e-05,2026-06-15 16:00:00+08:00
