ts,ratio,dt
1781157600000,2.23,2026-06-11 14:00:00+08:00
1781161200000,2.22,2026-06-11 15:00:00+08:00
1781164800000,2.2,2026-06-11 16:00:00+08:00
1781168400000,2.2,2026-06-11 17:00:00+08:00
1781172000000,2.18,2026-06-11 18:00:00+08:00
1781175600000,2.17,2026-06-11 19:00:00+08:00
1781179200000,2.24,2026-06-11 20:00:00+08:00
1781182800000,2.24,2026-06-11 21:00:00+08:00
1781186400000,2.21,2026-06-11 22:00:00+08:00
1781190000000,2.18,2026-06-11 23:00:00+08:00
1781193600000,2.17,2026-06-12 00:00:00+08:00
1781197200000,2.17,2026-06-12 01:00:00+08:00
1781200800000,2.17,2026-06-12 02:00:00+08:00
1781204400000,2.14,2026-06-12 03:00:00+08:00
1781208000000,2.14,2026-06-12 04:00:00+08:00
1781211600000,2.15,2026-06-12 05:00:00+08:00
1781215200000,2.14,2026-06-12 06:00:00+08:00
1781218800000,2.12,2026-06-12 07:00:00+08:00
1781222400000,2.1,2026-06-12 08:00:00+08:00
1781226000000,2.09,2026-06-12 09:00:00+08:00
1781229600000,2.09,2026-06-12 10:00:00+08:00
1781233200000,2.14,2026-06-12 11:00:00+08:00
1781236800000,2.15,2026-06-12 12:00:00+08:00
1781240400000,2.14,2026-06-12 13:00:00+08:00
1781244000000,2.16,2026-06-12 14:00:00+08:00
1781247600000,2.17,2026-06-12 15:00:00+08:00
1781251200000,2.19,2026-06-12 16:00:00+08:00
1781254800000,2.18,2026-06-12 17:00:00+08:00
1781258400000,2.15,2026-06-12 18:00:00+08:00
1781262000000,2.16,2026-06-12 19:00:00+08:00
1781265600000,2.16,2026-06-12 20:00:00+08:00
1781269200000,2.16,2026-06-12 21:00:00+08:00
1781272800000,2.16,2026-06-12 22:00:00+08:00
1781276400000,2.41,2026-06-12 23:00:00+08:00
1781280000000,2.41,2026-06-13 00:00:00+08:00
1781283600000,2.46,2026-06-13 01:00:00+08:00
1781287200000,2.48,2026-06-13 02:00:00+08:00
1781290800000,2.52,2026-06-13 03:00:00+08:00
1781294400000,2.53,2026-06-13 04:00:00+08:00
1781298000000,2.56,2026-06-13 05:00:00+08:00
1781301600000,2.56,2026-06-13 06:00:00+08:00
1781305200000,2.56,2026-06-13 07:00:00+08:00
1781308800000,2.57,2026-06-13 08:00:00+08:00
1781312400000,2.61,2026-06-13 09:00:00+08:00
1781316000000,2.61,2026-06-13 10:00:00+08:00
1781319600000,2.59,2026-06-13 11:00:00+08:00
1781323200000,2.59,2026-06-13 12:00:00+08:00
1781326800000,2.61,2026-06-13 13:00:00+08:00
1781330400000,2.63,2026-06-13 14:00:00+08:00
1781334000000,2.64,2026-06-13 15:00:00+08:00
1781337600000,2.6,2026-06-13 16:00:00+08:00
1781341200000,2.53,2026-06-13 17:00:00+08:00
1781344800000,2.5,2026-06-13 18:00:00+08:00
1781348400000,2.51,2026-06-13 19:00:00+08:00
1781352000000,2.48,2026-06-13 20:00:00+08:00
