ts,open,high,low,close,volume,dt
1780272000000,82.41,83.08,79.06,81.24,7662187.62,2026-06-01 08:00:00+08:00
1780358400000,81.24,81.26,72.65,74.18,11924379.56,2026-06-02 08:00:00+08:00
1780444800000,74.18,75.66,70.81,71.57,12913893.53,2026-06-03 08:00:00+08:00
1780531200000,71.58,72.06,66.59,68.81,17491340.35,2026-06-04 08:00:00+08:00
1780617600000,68.81,69.06,61.39,63.6,23112897.7,2026-06-05 08:00:00+08:00
1780704000000,63.6,64.82,60.02,62.15,13472448.7,2026-06-06 08:00:00+08:00
1780790400000,62.16,67.9,61.91,66.46,12746466.58,2026-06-07 08:00:00+08:00
1780876800000,66.45,68.14,64.92,66.79,10104467.68,2026-06-08 08:00:00+08:00
1780963200000,66.78,67.44,63.51,64.92,11616897.08,2026-06-09 08:00:00+08:00
1781049600000,64.93,65.79,62.29,63.16,10513771.9,2026-06-10 08:00:00+08:00
1781136000000,63.15,67.35,63.15,66.88,10389013.07,2026-06-11 08:00:00+08:00
1781222400000,66.87,68.76,65.89,66.77,8062124.6,2026-06-12 08:00:00+08:00
1781308800000,66.77,69.56,66.46,68.88,5116006.04,2026-06-13 08:00:00+08:00
1781395200000,68.88,71.24,66.9,71.24,6286927.33,2026-06-14 08:00:00+08:00
1781481600000,71.24,74.2,70.63,73.76,6777396.64,2026-06-15 08:00:00+08:00
