ts,open,high,low,close,volume,dt
1780984800000,67.15,67.44,66.57,66.85,600972.75,2026-06-09 14:00:00+08:00
1780992000000,66.86,66.89,66.01,66.14,841191.82,2026-06-09 16:00:00+08:00
1780999200000,66.14,66.45,65.85,66.07,660981.88,2026-06-09 18:00:00+08:00
1781006400000,66.07,66.48,65.55,65.8,1023900.84,2026-06-09 20:00:00+08:00
1781013600000,65.8,65.96,64.22,64.29,2301262.22,2026-06-09 22:00:00+08:00
1781020800000,64.28,65.14,63.51,64.76,1817447.83,2026-06-10 00:00:00+08:00
1781028000000,64.76,65.63,64.63,65.37,746582.73,2026-06-10 02:00:00+08:00
1781035200000,65.38,65.68,64.83,64.97,414978.23,2026-06-10 04:00:00+08:00
1781042400000,64.98,65.33,64.64,64.92,352570.62,2026-06-10 06:00:00+08:00
1781049600000,64.93,65.26,64.44,65.06,414882.66,2026-06-10 08:00:00+08:00
1781056800000,65.06,65.21,64.2,64.49,470661.39,2026-06-10 10:00:00+08:00
1781064000000,64.48,64.61,63.87,64.08,422745.52,2026-06-10 12:00:00+08:00
1781071200000,64.09,64.74,63.78,64.45,573711.38,2026-06-10 14:00:00+08:00
1781078400000,64.46,64.49,63.02,63.6,925322.0,2026-06-10 16:00:00+08:00
1781085600000,63.61,63.78,62.89,63.46,991027.14,2026-06-10 18:00:00+08:00
1781092800000,63.47,65.51,63.26,65.03,1794478.19,2026-06-10 20:00:00+08:00
1781100000000,65.04,65.79,64.51,65.39,1423629.1,2026-06-10 22:00:00+08:00
1781107200000,65.4,65.44,63.58,64.0,1143834.59,2026-06-11 00:00:00+08:00
1781114400000,64.01,64.18,63.31,63.51,760708.7,2026-06-11 02:00:00+08:00
1781121600000,63.51,63.62,62.29,62.54,765805.19,2026-06-11 04:00:00+08:00
1781128800000,62.55,63.26,62.32,63.16,826966.04,2026-06-11 06:00:00+08:00
1781136000000,63.15,65.14,63.15,64.87,1041660.1,2026-06-11 08:00:00+08:00
1781143200000,64.87,65.46,64.29,65.23,914318.65,2026-06-11 10:00:00+08:00
1781150400000,65.22,65.32,64.87,64.94,450230.13,2026-06-11 12:00:00+08:00
1781157600000,64.93,65.4,64.74,65.01,582791.22,2026-06-11 14:00:00+08:00
1781164800000,65.0,65.52,64.99,65.35,776363.27,2026-06-11 16:00:00+08:00
1781172000000,65.36,66.18,65.23,65.85,851826.28,2026-06-11 18:00:00+08:00
1781179200000,65.85,65.88,64.85,65.49,1483009.43,2026-06-11 20:00:00+08:00
1781186400000,65.49,65.83,64.94,65.51,957916.75,2026-06-11 22:00:00+08:00
1781193600000,65.51,67.16,65.0,67.13,1562978.01,2026-06-12 00:00:00+08:00
1781200800000,67.12,67.35,66.55,66.89,953419.8,2026-06-12 02:00:00+08:00
1781208000000,66.88,67.06,66.3,66.87,491244.55,2026-06-12 04:00:00+08:00
1781215200000,66.87,67.1,66.64,66.88,323254.88,2026-06-12 06:00:00+08:00
1781222400000,66.87,67.07,66.37,66.65,376379.82,2026-06-12 08:00:00+08:00
1781229600000,66.64,67.25,66.63,66.98,396806.62,2026-06-12 10:00:00+08:00
1781236800000,66.97,67.2,66.6,66.69,392056.28,2026-06-12 12:00:00+08:00
1781244000000,66.69,66.78,65.89,66.27,684636.37,2026-06-12 14:00:00+08:00
1781251200000,66.27,67.45,66.26,67.14,681937.41,2026-06-12 16:00:00+08:00
1781258400000,67.13,67.32,66.55,66.89,461186.07,2026-06-12 18:00:00+08:00
1781265600000,66.9,66.97,66.33,66.67,774447.64,2026-06-12 20:00:00+08:00
1781272800000,66.68,68.76,66.58,67.2,2096407.38,2026-06-12 22:00:00+08:00
1781280000000,67.21,68.17,67.02,67.35,925927.91,2026-06-13 00:00:00+08:00
1781287200000,67.35,67.44,66.63,66.73,624714.64,2026-06-13 02:00:00+08:00
1781294400000,66.74,66.9,66.42,66.52,375429.92,2026-06-13 04:00:00+08:00
1781301600000,66.53,66.85,66.41,66.77,272194.54,2026-06-13 06:00:00+08:00
1781308800000,66.77,67.48,66.73,67.4,315157.89,2026-06-13 08:00:00+08:00
1781316000000,67.41,67.46,66.63,66.83,356876.67,2026-06-13 10:00:00+08:00
