ts,open,high,low,close,volume,dt
1780588800000,69.61,69.63,69.04,69.05,192805.09,2026-06-05 00:00:00+08:00
1780590600000,69.05,69.61,68.93,69.37,187913.55,2026-06-05 00:30:00+08:00
1780592400000,69.36,69.7,68.97,69.16,190629.67,2026-06-05 01:00:00+08:00
1780594200000,69.16,69.53,68.45,69.2,290707.47,2026-06-05 01:30:00+08:00
1780596000000,69.2,69.61,68.6,69.61,202283.93,2026-06-05 02:00:00+08:00
1780597800000,69.61,69.85,69.41,69.46,196974.31,2026-06-05 02:30:00+08:00
1780599600000,69.46,69.68,69.06,69.53,212952.77,2026-06-05 03:00:00+08:00
1780601400000,69.54,69.59,68.98,69.05,113539.96,2026-06-05 03:30:00+08:00
1780603200000,69.04,69.1,68.4,68.72,177260.92,2026-06-05 04:00:00+08:00
1780605000000,68.73,68.97,68.48,68.76,101014.64,2026-06-05 04:30:00+08:00
1780606800000,68.76,69.01,68.17,68.27,177605.24,2026-06-05 05:00:00+08:00
1780608600000,68.27,68.3,67.55,67.74,265934.44,2026-06-05 05:30:00+08:00
1780610400000,67.73,68.1,67.51,67.9,223392.99,2026-06-05 06:00:00+08:00
1780612200000,67.9,68.53,67.55,68.43,249607.49,2026-06-05 06:30:00+08:00
1780614000000,68.43,68.84,67.95,68.23,201292.29,2026-06-05 07:00:00+08:00
1780615800000,68.22,68.88,68.17,68.81,138180.43,2026-06-05 07:30:00+08:00
1780617600000,68.81,69.04,68.28,69.03,167935.25,2026-06-05 08:00:00+08:00
1780619400000,69.02,69.06,68.21,68.25,207821.65,2026-06-05 08:30:00+08:00
1780621200000,68.24,68.41,67.51,68.4,409932.27,2026-06-05 09:00:00+08:00
1780623000000,68.4,68.78,68.24,68.45,223079.76,2026-06-05 09:30:00+08:00
1780624800000,68.46,68.57,67.68,67.68,301978.91,2026-06-05 10:00:00+08:00
1780626600000,67.68,68.03,67.14,67.27,338318.94,2026-06-05 10:30:00+08:00
1780628400000,67.28,67.83,66.96,67.27,348458.99,2026-06-05 11:00:00+08:00
1780630200000,67.27,67.63,66.88,67.05,312261.11,2026-06-05 11:30:00+08:00
1780632000000,67.06,67.85,66.43,67.83,598805.68,2026-06-05 12:00:00+08:00
1780633800000,67.83,67.97,66.88,67.89,314514.41,2026-06-05 12:30:00+08:00
1780635600000,67.9,68.04,67.45,67.78,228476.96,2026-06-05 13:00:00+08:00
1780637400000,67.78,67.97,66.01,66.17,695073.14,2026-06-05 13:30:00+08:00
1780639200000,66.17,66.5,63.75,64.57,1833151.89,2026-06-05 14:00:00+08:00
1780641000000,64.58,65.47,64.38,65.0,729890.45,2026-06-05 14:30:00+08:00
1780642800000,64.99,65.5,63.86,65.44,612088.26,2026-06-05 15:00:00+08:00
1780644600000,65.43,66.26,65.25,66.12,457967.93,2026-06-05 15:30:00+08:00
1780646400000,66.12,66.16,65.36,65.88,337840.88,2026-06-05 16:00:00+08:00
1780648200000,65.89,66.08,65.03,65.27,263556.24,2026-06-05 16:30:00+08:00
1780650000000,65.26,66.49,65.25,66.35,621168.69,2026-06-05 17:00:00+08:00
1780651800000,66.35,66.55,66.02,66.5,210729.17,2026-06-05 17:30:00+08:00
1780653600000,66.49,66.7,66.16,66.45,233900.36,2026-06-05 18:00:00+08:00
1780655400000,66.46,66.7,66.1,66.37,217515.51,2026-06-05 18:30:00+08:00
1780657200000,66.37,66.77,65.76,66.54,347953.51,2026-06-05 19:00:00+08:00
1780659000000,66.54,66.6,65.91,66.02,190313.92,2026-06-05 19:30:00+08:00
1780660800000,66.02,66.31,65.38,65.85,320714.25,2026-06-05 20:00:00+08:00
1780662600000,65.85,66.23,65.16,65.77,349697.58,2026-06-05 20:30:00+08:00
1780664400000,65.78,66.7,65.76,66.45,339178.09,2026-06-05 21:00:00+08:00
