ts,oi,oi_value,dt
1780639200000,237186268.0966,237186268.0966,2026-06-05 14:00:00+08:00
1780642800000,239584489.3335,239584489.3335,2026-06-05 15:00:00+08:00
1780646400000,237339571.176,237339571.176,2026-06-05 16:00:00+08:00
1780650000000,240978077.2268,240978077.2268,2026-06-05 17:00:00+08:00
1780653600000,239564999.6205,239564999.6205,2026-06-05 18:00:00+08:00
1780657200000,238802397.2477,238802397.2477,2026-06-05 19:00:00+08:00
1780660800000,239569317.9076,239569317.9076,2026-06-05 20:00:00+08:00
1780664400000,238953818.8996,238953818.8996,2026-06-05 21:00:00+08:00
1780668000000,236837066.0531,236837066.0531,2026-06-05 22:00:00+08:00
1780671600000,237351607.9392,237351607.9392,2026-06-05 23:00:00+08:00
1780675200000,237460524.3994,237460524.3994,2026-06-06 00:00:00+08:00
1780678800000,233368372.4013,233368372.4013,2026-06-06 01:00:00+08:00
1780682400000,212955394.3418,212955394.3418,2026-06-06 02:00:00+08:00
1780686000000,210526557.2655,210526557.2655,2026-06-06 03:00:00+08:00
1780689600000,210422859.9075,210422859.9075,2026-06-06 04:00:00+08:00
1780693200000,209871708.3771,209871708.3771,2026-06-06 05:00:00+08:00
1780696800000,208720350.5863,208720350.5863,2026-06-06 06:00:00+08:00
1780700400000,209135790.5964,209135790.5964,2026-06-06 07:00:00+08:00
1780704000000,207451172.9823,207451172.9823,2026-06-06 08:00:00+08:00
1780707600000,210706285.3471,210706285.3471,2026-06-06 09:00:00+08:00
1780711200000,208928217.8645,208928217.8645,2026-06-06 10:00:00+08:00
1780714800000,207732970.5619,207732970.5619,2026-06-06 11:00:00+08:00
1780718400000,208343430.7952,208343430.7952,2026-06-06 12:00:00+08:00
1780722000000,210327722.9538,210327722.9538,2026-06-06 13:00:00+08:00
1780725600000,207521204.6334,207521204.6334,2026-06-06 14:00:00+08:00
1780729200000,207291991.9583,207291991.9583,2026-06-06 15:00:00+08:00
1780732800000,207722248.6596,207722248.6596,2026-06-06 16:00:00+08:00
1780736400000,207938663.1646,207938663.1646,2026-06-06 17:00:00+08:00
1780740000000,207293723.304,207293723.304,2026-06-06 18:00:00+08:00
1780743600000,208475756.6888,208475756.6888,2026-06-06 19:00:00+08:00
1780747200000,208435557.5469,208435557.5469,2026-06-06 20:00:00+08:00
1780750800000,211057007.2139,211057007.2139,2026-06-06 21:00:00+08:00
1780754400000,210830846.7006,210830846.7006,2026-06-06 22:00:00+08:00
1780758000000,210887100.0442,210887100.0442,2026-06-06 23:00:00+08:00
1780761600000,209632225.8815,209632225.8815,2026-06-07 00:00:00+08:00
1780765200000,209327971.0919,209327971.0919,2026-06-07 01:00:00+08:00
1780768800000,204433010.1257,204433010.1257,2026-06-07 02:00:00+08:00
1780772400000,203279731.805,203279731.805,2026-06-07 03:00:00+08:00
1780776000000,202453822.908,202453822.908,2026-06-07 04:00:00+08:00
1780779600000,201828335.3303,201828335.3303,2026-06-07 05:00:00+08:00
1780783200000,201398606.6573,201398606.6573,2026-06-07 06:00:00+08:00
1780786800000,201618819.4678,201618819.4678,2026-06-07 07:00:00+08:00
1780790400000,202505914.1125,202505914.1125,2026-06-07 08:00:00+08:00
1780794000000,202542933.7798,202542933.7798,2026-06-07 09:00:00+08:00
1780797600000,203521875.052,203521875.052,2026-06-07 10:00:00+08:00
1780801200000,202188046.3689,202188046.3689,2026-06-07 11:00:00+08:00
1780804800000,199743820.0453,199743820.0453,2026-06-07 12:00:00+08:00
1780808400000,200230478.794,200230478.794,2026-06-07 13:00:00+08:00
