ts,sellVol,buyVol,dt
1781107200000,24468352.9561,31096734.9952,2026-06-11 00:00:00+08:00
1781110800000,17405836.3318,18608139.6435,2026-06-11 01:00:00+08:00
1781114400000,20440870.027,18993679.1363,2026-06-11 02:00:00+08:00
1781118000000,16473214.555,11737688.9084,2026-06-11 03:00:00+08:00
1781121600000,10055237.633,11022526.0929,2026-06-11 04:00:00+08:00
1781125200000,9746516.9527,10879834.872,2026-06-11 05:00:00+08:00
1781128800000,17877623.747,10513932.2344,2026-06-11 06:00:00+08:00
1781132400000,12305827.8077,12118219.7364,2026-06-11 07:00:00+08:00
1781136000000,12500773.7409,15668218.4396,2026-06-11 08:00:00+08:00
1781139600000,7336547.0007,9652687.1383,2026-06-11 09:00:00+08:00
1781143200000,23903006.1321,27655270.0399,2026-06-11 10:00:00+08:00
1781146800000,14078931.003,10254254.453,2026-06-11 11:00:00+08:00
1781150400000,15482383.8119,20680681.412,2026-06-11 12:00:00+08:00
1781154000000,9068717.0009,9095075.3459,2026-06-11 13:00:00+08:00
1781157600000,6157523.664,5306098.0298,2026-06-11 14:00:00+08:00
1781161200000,10453512.6308,11847826.1237,2026-06-11 15:00:00+08:00
1781164800000,9188114.9059,7013558.3901,2026-06-11 16:00:00+08:00
1781168400000,7667637.9887,13135276.3663,2026-06-11 17:00:00+08:00
1781172000000,17940605.3665,12940435.2115,2026-06-11 18:00:00+08:00
1781175600000,6848885.1002,9024256.94,2026-06-11 19:00:00+08:00
1781179200000,17614572.9172,23623607.8753,2026-06-11 20:00:00+08:00
1781182800000,36705313.4296,29985974.4436,2026-06-11 21:00:00+08:00
1781186400000,12744064.662,18838695.409,2026-06-11 22:00:00+08:00
1781190000000,13628083.686,11097819.0536,2026-06-11 23:00:00+08:00
1781193600000,19933216.2427,18964812.9593,2026-06-12 00:00:00+08:00
1781197200000,9168595.5312,9781138.9665,2026-06-12 01:00:00+08:00
1781200800000,37209321.0461,49660046.3309,2026-06-12 02:00:00+08:00
1781204400000,20880086.2549,15490321.2882,2026-06-12 03:00:00+08:00
1781208000000,14028468.9853,14544799.7261,2026-06-12 04:00:00+08:00
1781211600000,11280910.9443,7669501.7659,2026-06-12 05:00:00+08:00
1781215200000,7164910.1419,7426998.6049,2026-06-12 06:00:00+08:00
1781218800000,4607781.117,5268826.599,2026-06-12 07:00:00+08:00
1781222400000,5323839.3135,7046568.2254,2026-06-12 08:00:00+08:00
1781226000000,4609065.3949,6028661.5023,2026-06-12 09:00:00+08:00
1781229600000,8047540.373,7088902.3753,2026-06-12 10:00:00+08:00
1781233200000,7026048.3022,8684463.2722,2026-06-12 11:00:00+08:00
1781236800000,6156952.3726,6019632.7308,2026-06-12 12:00:00+08:00
1781240400000,4102830.8011,6069929.0999,2026-06-12 13:00:00+08:00
1781244000000,8359502.3846,8213661.2403,2026-06-12 14:00:00+08:00
1781247600000,14675531.8635,13699190.407,2026-06-12 15:00:00+08:00
1781251200000,7466612.7865,10369228.7914,2026-06-12 16:00:00+08:00
1781254800000,12227906.0936,9784637.1302,2026-06-12 17:00:00+08:00
1781258400000,9177160.4172,15146170.1914,2026-06-12 18:00:00+08:00
1781262000000,11522820.4556,9851749.3305,2026-06-12 19:00:00+08:00
1781265600000,5305720.693,4563472.6413,2026-06-12 20:00:00+08:00
1781269200000,8638288.9104,8309274.3656,2026-06-12 21:00:00+08:00
1781272800000,17200387.2216,18262401.9961,2026-06-12 22:00:00+08:00
1781276400000,25369148.3804,28380490.2672,2026-06-12 23:00:00+08:00
1781280000000,45853747.5686,45537220.1751,2026-06-13 00:00:00+08:00
1781283600000,18044395.0716,21260743.4612,2026-06-13 01:00:00+08:00
1781287200000,10447122.4096,13545320.7896,2026-06-13 02:00:00+08:00
1781290800000,12379612.3821,7965539.0527,2026-06-13 03:00:00+08:00
1781294400000,11285590.1191,10678617.1676,2026-06-13 04:00:00+08:00
1781298000000,9447797.1574,7719497.0643,2026-06-13 05:00:00+08:00
1781301600000,4024504.8949,4376841.9103,2026-06-13 06:00:00+08:00
1781305200000,3905794.8229,4932851.0303,2026-06-13 07:00:00+08:00
1781308800000,3610481.6826,6031021.5069,2026-06-13 08:00:00+08:00
1781312400000,4062008.385,4627046.0441,2026-06-13 09:00:00+08:00
1781316000000,5070375.2099,7731998.363,2026-06-13 10:00:00+08:00
1781319600000,6515290.6321,4735725.0138,2026-06-13 11:00:00+08:00
1781323200000,7395961.8263,5760215.8465,2026-06-13 12:00:00+08:00
1781326800000,4205199.1882,3420518.1552,2026-06-13 13:00:00+08:00
1781330400000,8877743.3162,7715310.1564,2026-06-13 14:00:00+08:00
1781334000000,4799980.1462,6610071.7646,2026-06-13 15:00:00+08:00
1781337600000,10274410.7803,10968760.9065,2026-06-13 16:00:00+08:00
1781341200000,9248183.3147,9798108.1712,2026-06-13 17:00:00+08:00
1781344800000,5639616.713,4941000.9693,2026-06-13 18:00:00+08:00
1781348400000,4050520.472,4365855.7316,2026-06-13 19:00:00+08:00
1781352000000,7308755.3531,9654290.2228,2026-06-13 20:00:00+08:00
1781355600000,6456355.3593,8435078.5455,2026-06-13 21:00:00+08:00
1781359200000,9924437.9263,9956627.0476,2026-06-13 22:00:00+08:00
1781362800000,6611161.5857,6129683.2634,2026-06-13 23:00:00+08:00
1781366400000,9514777.1957,12800543.6391,2026-06-14 00:00:00+08:00
1781370000000,16713706.4325,13137430.1687,2026-06-14 01:00:00+08:00
1781373600000,8160348.5602,6446235.7239,2026-06-14 02:00:00+08:00
1781377200000,4089044.9347,2703902.4228,2026-06-14 03:00:00+08:00
1781380800000,3690536.4272,5166396.8534,2026-06-14 04:00:00+08:00
1781384400000,2019573.8585,2345623.9943,2026-06-14 05:00:00+08:00
1781388000000,15089550.6108,19149354.8362,2026-06-14 06:00:00+08:00
1781391600000,7927386.0256,8464363.2884,2026-06-14 07:00:00+08:00
1781395200000,5515066.2459,4704523.7134,2026-06-14 08:00:00+08:00
1781398800000,4129239.1722,4952075.0795,2026-06-14 09:00:00+08:00
1781402400000,7894594.7391,6654368.8257,2026-06-14 10:00:00+08:00
1781406000000,5193956.9988,3974085.218,2026-06-14 11:00:00+08:00
1781409600000,4033865.2043,4780783.0369,2026-06-14 12:00:00+08:00
1781413200000,8267720.6332,7830912.4402,2026-06-14 13:00:00+08:00
